time,Theta_set,Theta_input
898,45,87.25
899,45,87.26
900,40,87.26
901,40,87.25
902,40,87.26
903,40,87.26
904,40,87.26
905,40,87.25
906,40,87.26
907,40,87.26
908,40,87.26
909,40,87.26
910,40,87.26
911,40,87.26
912,40,87.26
913,40,87.27
914,40,87.27
915,40,87.27
916,40,87.27
917,40,87.27
918,40,87.26
919,40,87.26
920,40,87.27
921,40,87.26
922,40,87.26
923,40,87.27
924,40,87.26
925,40,87.26
926,40,87.27
927,40,87.26
928,40,87.26
929,40,87.25
930,40,87.26
931,40,87.26
932,40,87.27
933,40,87.26
934,40,87.27
935,40,87.26
936,40,87.26
937,40,87.26
938,40,87.27
939,40,87.26
940,40,87.26
941,40,87.27
942,40,87.26
943,40,87.26
944,40,87.27
945,40,87.26
946,40,87.26
947,40,87.27
948,40,87.26
949,40,87.26
950,40,87.27
951,40,87.26
952,40,87.26
953,40,87.27
954,40,87.27
955,40,87.27
956,40,87.27
957,40,87.28
958,40,87.27
959,40,87.28
960,40,87.27
961,40,87.27
962,40,87.28
963,40,87.26
964,40,87.27
965,40,87.27
966,40,87.27
967,40,87.27
968,40,87.27
969,40,87.27
970,40,87.27
971,40,87.27
972,40,87.27
973,40,87.27
974,40,87.28
975,40,87.27
976,40,87.27
977,40,87.27
978,40,87.27
979,40,87.27
980,40,87.28
981,40,87.27
982,40,87.27
983,40,87.28
984,40,87.26
985,40,87.27
986,40,87.27
987,40,87.26
988,40,87.27
989,40,87.28
990,40,87.26
991,40,87.27
992,40,87.28
993,40,87.26
994,40,87.27
995,40,87.27
996,40,87.27
997,40,87.27
998,40,87.27
999,40,87.27
1000,40,87.27
1001,40,87.27
1002,40,87.27
1003,40,87.27
1004,40,87.28
1005,40,87.27
1006,40,87.28
1007,40,87.27
1008,40,87.27
1009,40,87.27
1010,40,87.28
1011,40,87.27
1012,40,87.27
1013,40,87.28
1014,40,87.27
1015,40,87.27
1016,40,87.27
1017,40,87.27
1018,40,87.27
1019,40,87.27
1020,40,87.27
1021,40,87.27
1022,40,87.27
1023,40,87.27
1024,40,87.27
1025,40,87.28
1026,40,87.28
1027,40,87.28
1028,40,87.28
1029,40,87.28
1030,40,87.28
1031,40,87.28
1032,40,87.27
1033,40,87.28
1034,40,87.28
1035,40,87.27
1036,40,87.28
1037,40,87.27
1038,40,87.27
1039,40,87.27
1040,40,87.27
1041,40,87.27
1042,40,87.27
1043,40,87.28
1044,40,87.27
1045,40,87.27
1046,40,87.28
1047,40,87.29
1048,40,87.28
1049,40,87.28
1050,40,87.28
1051,45,87.28
1052,45,87.28
1053,45,87.27
1054,45,87.28
1055,45,87.27
1056,45,87.27
1057,45,87.28
1058,45,87.27
1059,45,87.27
1060,45,87.28
1061,45,87.27
1062,45,87.27
1063,45,87.28
1064,45,87.27
1065,45,87.28
1066,45,87.27
1067,45,87.27
1068,45,87.27
1069,45,87.27
1070,45,87.27
1071,45,87.28
1072,45,87.26
1073,45,87.27
1074,45,87.27
1075,45,87.26
1076,45,87.27
1077,45,87.26
1078,45,87.27
1079,45,87.27
1080,45,87.27
1081,45,87.27
1082,45,87.27
1083,45,87.26
1084,45,87.27
1085,45,87.27
1086,45,87.27
1087,45,87.27
1088,45,87.27
1089,45,87.28
1090,45,87.27
1091,45,87.27
1092,45,87.28
1093,45,87.27
1094,45,87.26
1095,45,87.26
1096,45,87.27
1097,45,87.26
1098,45,87.26
1099,45,87.26
1100,45,87.26
1101,45,87.25
1102,45,87.26
1103,45,87.26
1104,45,87.26
1105,45,87.25
1106,45,87.26
1107,45,87.27
1108,45,87.26
1109,45,87.26
1110,45,87.27
1111,45,87.26
1112,45,87.26
1113,45,87.27
1114,45,87.27
1115,45,87.26
1116,45,87.27
1117,45,87.26
1118,45,87.26
1119,45,87.27
1120,45,87.26
1121,45,87.26
1122,45,87.27
1123,45,87.26
1124,45,87.26
1125,45,87.26
1126,45,87.25
1127,45,87.26
1128,45,87.25
1129,45,87.26
1130,45,87.26
1131,45,87.27
1132,45,87.26
1133,45,87.26
1134,45,87.25
1135,45,87.26
1136,45,87.25
1137,45,87.26
1138,45,87.26
1139,45,87.25
1140,45,87.25
1141,45,87.26
1142,45,87.27
