ime,Theta_set,Theta_input
413,40,39.17
414,40,39.7
415,40,40.19
416,40,40.65
417,40,41
418,40,41.23
419,40,41.43
420,40,41.42
421,40,41.1
422,40,40.57
423,40,39.87
424,40,39.07
425,40,38.38
426,40,37.91
427,40,37.7
428,40,37.65
429,40,37.76
430,40,38.12
431,40,38.51
432,40,38.87
433,40,39.27
434,40,39.69
435,40,40.12
436,40,40.52
437,40,40.78
438,40,40.92
439,40,41.06
440,40,41.19
441,40,41.28
442,40,41.37
443,40,41.39
444,40,41.36
445,40,41.45
446,40,41.47
447,40,41.24
448,40,40.74
449,40,40.13
450,40,39.49
451,40,38.89
452,40,38.48
453,40,38.25
454,40,38.1
455,40,38.09
456,40,38.31
457,40,38.71
458,40,39.16
459,40,39.58
460,40,39.91
461,40,40.14
462,40,40.29
463,40,40.42
464,40,40.53
465,40,40.6
466,40,40.7
467,40,40.79
468,40,40.89
469,40,41.02
470,40,41.16
471,40,41.33
472,40,41.5
473,40,41.64
474,40,41.52
475,40,41.23
476,40,40.87
477,40,40.45
478,40,40.07
479,40,39.81
480,40,39.71
481,40,39.67
482,40,39.71
483,40,39.84
484,40,40.05
485,40,40.22
486,40,40.42
487,40,40.61
488,40,40.79
489,40,40.92
490,40,40.97
491,40,40.84
492,40,40.49
493,40,39.83
494,40,39.08
495,40,38.47
496,40,38.04
497,40,37.8
498,40,37.69
499,40,37.73
500,40,37.94
501,40,38.17
502,40,38.37
503,40,38.63
504,40,38.85
505,40,38.95
506,40,39
507,40,39.07
508,40,39.22
509,40,39.33
510,40,39.34
511,40,39.35
512,40,39.4
513,40,39.47
514,40,39.46
515,40,39.42
516,40,39.41
517,40,39.4
518,40,39.45
519,40,39.5
520,40,39.56
521,40,39.65
522,40,39.73
523,40,39.81
524,40,39.89
525,40,39.96
526,40,40.02
527,40,40.08
528,40,40.12
529,40,40.15
530,40,40.16
531,40,40.14
532,40,40.12
533,40,40.11
534,40,40.08
535,40,40.07
536,40,40.06
537,40,40.07
538,40,40.09
539,40,40.14
540,40,40.19
541,40,40.25
542,40,40.32
543,40,40.4
544,40,40.48
545,45,40.56
546,45,40.66
547,45,40.89
548,45,41.42
549,45,42.22
550,45,43.24
551,45,44.37
552,45,45.82
553,45,47.6
554,45,49.14
555,45,50.41
556,45,51.49
557,45,52.28
558,45,52.81
559,45,53.11
560,45,53.23
561,45,53.17
562,45,52.96
563,45,52.65
564,45,52.23
565,45,51.74
566,45,51.19
567,45,50.59
568,45,49.98
569,45,49.31
570,45,48.59
571,45,47.79
572,45,46.97
573,45,46.1
574,45,45.16
575,45,44.16
576,45,43.11
577,45,41.97
578,45,40.79
579,45,39.77
580,45,38.9
581,45,38.4
582,45,38.55
583,45,39.07
584,45,39.64
585,45,40.23
586,45,41.06
587,45,42.11
588,45,43.25
589,45,44.52
590,45,45.82
591,45,46.95
592,45,47.87
593,45,48.52
594,45,48.85
595,45,48.94
596,45,48.82
597,45,48.56
598,45,48.21
599,45,47.77
600,45,47.26
601,45,46.72
602,45,46.13
603,45,45.52
604,45,44.88
605,45,44.17
606,45,43.53
607,45,43.03
608,45,42.63
609,45,42.3
610,45,42.08
611,45,41.99
612,45,42.06
613,45,42.12
614,45,42.15
615,45,42.2
616,45,42.21
617,45,42.22
618,45,42.24
619,45,42.26
620,45,42.28
621,45,42.32
622,45,42.37
623,45,42.44
624,45,42.52
625,45,42.61
626,45,42.7
627,45,42.8
628,45,42.9
629,45,43.01
630,45,43.12
631,45,43.22
632,45,43.31
633,45,43.37
634,45,43.43
635,45,43.46
636,45,43.51
637,45,43.53
638,45,43.57
639,45,43.61
640,45,43.65
641,45,43.72
642,45,43.79
643,45,43.88
644,45,43.97
645,40,44.07
646,40,44.17
647,40,44.16
648,40,44.03
649,40,43.8
650,40,43.47
651,40,43.04
652,40,42.55
653,40,41.99
654,40,41.37
655,40,40.71
656,40,39.97
657,40,39.26
658,40,38.65
659,40,38.15
660,40,37.82
661,40,37.6
662,40,37.55
663,40,37.58
664,40,37.63
665,40,37.89
666,40,38.19
667,40,38.43
668,40,38.64
669,40,38.74
670,40,38.82
671,40,38.89
672,40,38.96
673,40,39.04
674,40,39.11
675,40,39.17
676,40,39.23
677,40,39.3
678,40,39.37
679,40,39.45
680,40,39.53
681,40,39.61
682,40,39.69
683,40,39.76
684,40,39.81
685,40,39.86
686,40,39.9
687,40,39.93
688,40,39.97
689,40,40
690,40,40.03
691,40,40.07
692,40,40.1
693,40,40.14
694,40,40.19
695,40,40.24
696,40,40.3
697,40,40.35
698,40,40.4
699,40,40.46
700,40,40.52
701,40,40.57
702,40,40.62
703,40,40.68
704,40,40.73
705,40,40.78
706,40,40.85
707,40,40.91
708,40,40.95
709,40,41.02
710,40,41.06
711,40,41.11
712,40,41.16
713,40,41.21
714,40,41.28
715,40,41.35
716,40,41.42
717,40,41.42
718,40,41.38
719,40,41.27
720,40,40.92
721,40,40.49
722,40,40.14
723,40,39.91
724,40,39.83
725,40,39.77
726,40,39.77
727,40,39.84
728,40,39.9
729,40,39.96
730,40,40.01
731,40,40.1
732,40,40.2
733,40,40.3
734,40,40.4
735,40,40.48
736,40,40.57
737,40,40.66
738,40,40.76
739,40,40.85
740,40,40.96
741,40,41.05
742,40,41.17
743,40,41.28
744,40,41.37
745,40,41.46
746,40,41.53
747,40,41.55
748,40,41.47
749,40,41.27
750,40,40.96
751,40,40.51
752,40,39.96
753,40,39.43
754,40,39.09
755,40,38.89
756,40,38.81
757,40,38.82
758,40,38.85
759,40,38.91
760,40,39.01
761,40,39.1
762,40,39.18
763,40,39.23
764,40,39.26
765,40,39.28
766,40,39.29
767,40,39.29
768,40,39.3
769,40,39.32
770,40,39.35
771,40,39.38
772,40,39.42
773,40,39.47
774,40,39.54
775,40,39.59
776,40,39.66
777,40,39.73
778,40,39.78
779,40,39.84
780,40,39.89
781,40,39.93
782,40,39.98
783,40,40.02
784,40,40.07
785,40,40.11
786,40,40.16
787,40,40.2
788,40,40.25
789,40,40.3
790,40,40.34
791,40,40.38
792,40,40.43
793,40,40.48
794,40,40.53
795,40,40.59
796,45,40.65
797,45,40.72
798,45,41
799,45,41.63
800,45,42.47
801,45,43.46
802,45,44.46
803,45,45.38
804,45,46.24
805,45,47.05
806,45,47.82
807,45,48.55
808,45,49.13
809,45,49.45
810,45,49.54
811,45,49.41
812,45,49.18
813,45,48.83
814,45,48.39
815,45,47.88
816,45,47.31
817,45,46.68
818,45,45.97
819,45,45.21
820,45,44.42
821,45,43.72
822,45,43.15
823,45,42.73
824,45,42.44
825,45,42.27
826,45,42.15
827,45,42.14
828,45,42.25
829,45,42.34
830,45,42.37
831,45,42.36
832,45,42.32
833,45,42.31
834,45,42.31
835,45,42.3
836,45,42.31
837,45,42.53
838,45,42.99
839,45,43.57
840,45,44.13
841,45,44.58
842,45,45.03
843,45,45.51
844,45,45.92
845,45,46.26
846,45,46.54
847,45,46.8
848,45,47
849,45,46.93
850,45,46.67
851,45,46.38
852,45,46.11
853,45,45.9
854,45,45.77
855,45,45.76
856,45,45.84
857,45,45.91
858,45,45.97
859,45,46
860,45,46.01
861,45,45.98
862,45,45.95
863,45,45.9
864,45,45.87
865,45,45.82
866,45,45.78
867,45,45.75
868,45,45.72
869,45,45.71
870,45,45.72
871,45,45.73
872,45,45.73
873,45,45.74
874,45,45.76
875,45,45.75
876,45,45.75
877,45,45.74
878,45,45.71
879,45,45.7
880,45,45.68
881,45,45.67
882,45,45.67
883,45,45.66
884,45,45.66
885,45,45.66
886,45,45.66
887,45,45.67
888,45,45.67
889,45,45.67
890,45,45.67
891,45,45.67
892,45,45.68
893,45,45.7
894,45,45.71
895,45,45.74
896,40,45.75
897,40,45.76
898,40,45.69
899,40,45.49
900,40,45.23
901,40,44.84
902,40,44.34
903,40,43.78
904,40,43.14
905,40,42.44
906,40,41.69
907,40,40.91
908,40,40.11
909,40,39.27
910,40,38.42
911,40,37.63
912,40,37
913,40,36.49
914,40,36.08
915,40,35.79
916,40,35.57
917,40,35.42
918,40,35.44
919,40,35.71
920,40,36.24
921,40,36.95
922,40,37.66
923,40,38.26
924,40,38.78
925,40,39.26
926,40,39.69
927,40,40.1
928,40,40.47
929,40,40.8
930,40,41.08
931,40,41.28
932,40,41.48
933,40,41.55
934,40,41.39
935,40,41.12
936,40,40.82
937,40,40.42
938,40,39.92
939,40,39.38
940,40,38.93
941,40,38.66
942,40,38.5
943,40,38.39
944,40,38.37
945,40,38.48
946,40,38.71
947,40,38.96
948,40,39.17
949,40,39.28
950,40,39.31
951,40,39.29
952,40,39.28
953,40,39.28
954,40,39.3
955,40,39.33
956,40,39.37
957,40,39.4
958,40,39.46
959,40,39.52
960,40,39.61
961,40,39.7
962,40,39.8
963,40,39.87
964,40,39.94
965,40,39.98
966,40,40.03
967,40,40.04
968,40,40.05
969,40,40.05
970,40,40.04
971,40,40.05
972,40,40.05
973,40,40.07
974,40,40.09
975,40,40.12
976,40,40.15
977,40,40.16
978,40,40.19
979,40,40.21
980,40,40.22
981,40,40.23
982,40,40.24
983,40,40.25
984,40,40.25
985,40,40.27
986,40,40.27
987,40,40.28
988,40,40.27
989,40,40.26
990,40,40.26
991,40,40.23
992,40,40.19
993,40,40.14
994,40,40.1
995,40,40.06
996,40,40.03
997,40,40.02
998,40,40
999,40,40
1000,40,40.01
1001,40,40.02
1002,40,40.04
1003,40,40.04
1004,40,40.05
1005,40,40.05
1006,40,40.06
1007,40,40.06
1008,40,40.07
1009,40,40.09
1010,40,40.1
1011,40,40.12
1012,40,40.15
1013,40,40.18
1014,40,40.21
1015,40,40.22
1016,40,40.24
1017,40,40.25
1018,40,40.25
1019,40,40.25
1020,40,40.24
1021,40,40.25
1022,40,40.24
1023,40,40.25
1024,40,40.28
1025,40,40.33
1026,40,40.38
1027,40,40.43
1028,40,40.48
1029,40,40.55
1030,40,40.62
1031,40,40.67
1032,40,40.72
1033,40,40.71
1034,40,40.69
1035,40,40.53
1036,40,40.05
1037,40,39.44
1038,40,38.95
1039,40,38.6
1040,40,38.36
1041,40,38.21
1042,40,38.18
1043,40,38.26
1044,40,38.39
1045,40,38.57
1046,40,38.73
1047,45,38.86
1048,45,38.97
1049,45,39.18
1050,45,39.74
1051,45,40.58
1052,45,41.47
1053,45,42.43
1054,45,43.56
1055,45,44.67
1056,45,45.71
1057,45,46.71
1058,45,47.67
1059,45,48.51
1060,45,49.1
1061,45,49.35
1062,45,49.33
1063,45,49.08
1064,45,48.71
1065,45,48.26
1066,45,47.74
1067,45,47.15
1068,45,46.53
1069,45,45.89
1070,45,45.18
1071,45,44.38
1072,45,43.67
1073,45,43.17
1074,45,42.7
1075,45,42.31
1076,45,42.01
1077,45,41.83
1078,45,41.73
1079,45,41.96
1080,45,42.49
1081,45,42.97
1082,45,43.31
1083,45,43.64
1084,45,43.99
1085,45,44.34
1086,45,44.71
1087,45,45.09
1088,45,45.42
1089,45,45.71
1090,45,45.95
1091,45,46.17
1092,45,46.39
1093,45,46.53
1094,45,46.64
1095,45,46.65
1096,45,46.44
1097,45,46.23
1098,45,46.18
1099,45,46.12
1100,45,46.08
1101,45,46.13
1102,45,46.25
1103,45,46.37
1104,45,46.24
1105,45,46.04
1106,45,45.86
1107,45,45.65
1108,45,45.65
1109,45,45.82
1110,45,45.95
1111,45,46.09
1112,45,46.24
1113,45,46.26
1114,45,46.22
1115,45,46.04
1116,45,45.56
1117,45,44.97
1118,45,44.43
1119,45,44.05
1120,45,43.8
1121,45,43.64
1122,45,43.59
1123,45,43.77
1124,45,44.06
1125,45,44.33
1126,45,44.6
1127,45,44.76
1128,45,44.79
1129,45,44.77
1130,45,44.73
1131,45,44.69
1132,45,44.67
1133,45,44.64
1134,45,44.62
1135,45,44.59
1136,45,44.58
1137,45,44.58
1138,45,44.6
1139,45,44.63
1140,45,44.67
1141,45,44.71
1142,45,44.76
1143,45,44.79
1144,45,44.81
1145,45,44.82
1146,45,44.82
1147,40,44.83
1148,40,44.82
1149,40,44.71
1150,40,44.47
1151,40,44.18
1152,40,43.78
1153,40,43.3
1154,40,42.75
1155,40,42.16
1156,40,41.51
1157,40,40.81
1158,40,40.07
1159,40,39.27
1160,40,38.26
1161,40,37.2
1162,40,36.26
1163,40,35.51
1164,40,34.96
1165,40,34.88
1166,40,35.29
1167,40,35.93
1168,40,36.52
1169,40,37.23
1170,40,38.18
1171,40,39.23
1172,40,40.23
1173,40,41.07
1174,40,41.87
1175,40,42.58
1176,40,42.94
1177,40,42.97
1178,40,42.78
1179,40,42.5
1180,40,42.15
1181,40,41.73
1182,40,41.24
1183,40,40.72
1184,40,40.17
1185,40,39.69
1186,40,39.36
1187,40,39.16
1188,40,39.02
1189,40,38.97
1190,40,38.93
1191,40,38.91
1192,40,38.97
1193,40,39.08
1194,40,39.11
1195,40,39.1
1196,40,39.05
1197,40,38.99
1198,40,38.96
1199,40,38.94
1200,40,38.94
1201,40,38.97
1202,40,39.03
1203,40,39.09
1204,40,39.18
1205,40,39.28
1206,40,39.39
1207,40,39.51
1208,40,39.64
1209,40,39.75
1210,40,39.85
1211,40,39.91
1212,40,39.93
1213,40,39.96
1214,40,39.97
1215,40,39.99
1216,40,40
1217,40,40.01
1218,40,40.04
1219,40,40.07
1220,40,40.11
1221,40,40.16
1222,40,40.2
1223,40,40.26
1224,40,40.33
1225,40,40.38
1226,40,40.42
1227,40,40.46
1228,40,40.48
1229,40,40.51
1230,40,40.52
1231,40,40.55
1232,40,40.56
1233,40,40.57
1234,40,40.59
1235,40,40.6
1236,40,40.63
1237,40,40.65
1238,40,40.67
1239,40,40.69
1240,40,40.71
1241,40,40.75
1242,40,40.78
1243,40,40.81
1244,40,40.79
1245,40,40.45
1246,40,39.76
1247,40,38.85
1248,40,37.97
1249,40,37.3
1250,40,36.8
1251,40,36.42
1252,40,36.22
1253,40,36.46
1254,40,37.17
1255,40,37.93
1256,40,38.56
1257,40,39.16
1258,40,39.71
1259,40,40.21
1260,40,40.63
1261,40,40.95
1262,40,41.26
1263,40,41.49
1264,40,41.7
1265,40,41.76
1266,40,41.42
1267,40,40.86
1268,40,40.25
1269,40,39.54
1270,40,38.9
1271,40,38.52
1272,40,38.25
1273,40,38.25
1274,40,38.08
1275,40,38.01
1276,40,38.12
1277,40,38.41
1278,40,38.65
1279,40,38.86
1280,40,39.03
1281,40,39.11
1282,40,39.14
1283,40,39.15
1284,40,39.18
1285,40,39.26
1286,40,39.36
1287,40,39.39
1288,40,39.42
1289,40,39.46
1290,40,39.59
1291,40,39.77
1292,40,39.85
1293,40,39.89
1294,40,39.93
1295,40,39.97
1296,40,40.01
1297,40,40.05
1298,40,40.1
1299,45,40.12
1300,45,40.11
1301,45,40.27
1302,45,40.84
1303,45,41.64
1304,45,42.52
1305,45,43.53
1306,45,44.72
1307,45,46.08
1308,45,47.51
1309,45,48.79
1310,45,49.93
1311,45,50.84
1312,45,51.47
1313,45,51.86
1314,45,51.98
1315,45,51.9
1316,45,51.67
1317,45,51.3
1318,45,50.83
1319,45,50.3
1320,45,49.7
1321,45,49.04
1322,45,48.31
1323,45,47.52
1324,45,46.69
1325,45,45.83
1326,45,44.94
1327,45,44.01
1328,45,43.11
1329,45,42.31
1330,45,41.64
1331,45,41.11
1332,45,40.75
1333,45,40.65
1334,45,41.01
1335,45,41.51
1336,45,42.05
1337,45,42.83
1338,45,43.81
1339,45,44.72
1340,45,45.48
1341,45,46.14
1342,45,46.7
1343,45,47.2
1344,45,47.4
1345,45,47.22
1346,45,46.87
1347,45,46.42
1348,45,45.89
1349,45,45.33
1350,45,44.73
1351,45,44.22
1352,45,43.91
1353,45,43.66
1354,45,43.62
1355,45,43.76
1356,45,43.89
1357,45,43.94
1358,45,43.96
1359,45,43.95
1360,45,43.9
1361,45,43.85
1362,45,43.81
1363,45,43.78
1364,45,43.83
1365,45,43.86
1366,45,43.84
1367,45,43.83
1368,45,43.9
1369,45,44.02
1370,45,44.08
1371,45,44.1
1372,45,44.23
1373,45,44.4
1374,45,44.45
1375,45,44.51
1376,45,44.64
1377,45,44.71
1378,45,44.66
1379,45,44.58
1380,45,44.49
1381,45,44.43
1382,45,44.37
1383,45,44.36
1384,45,44.36
1385,45,44.33
1386,45,44.32
1387,45,44.32
1388,45,44.32
1389,45,44.32
1390,45,44.33
1391,45,44.31
1392,45,44.31
1393,45,44.3
1394,45,44.28
1395,45,44.27
1396,45,44.26
1397,45,44.23
1398,45,44.22
1399,40,44.19
1400,40,44.14
1401,40,43.98
1402,40,43.67
1403,40,43.29
1404,40,42.8
1405,40,42.25
1406,40,41.64
1407,40,40.96
1408,40,40.25
1409,40,39.51
1410,40,38.84
1411,40,38.36
1412,40,38.03
1413,40,37.88
1414,40,37.78
1415,40,37.82
1416,40,37.95
1417,40,38.12
1418,40,38.28
1419,40,38.44
1420,40,38.58
1421,40,38.74
1422,40,38.85
1423,40,38.89
1424,40,38.91
1425,40,38.97
1426,40,39.08
1427,40,39.24
1428,40,39.36
1429,40,39.43
1430,40,39.54
1431,40,39.72
1432,40,39.92
1433,40,40.09
1434,40,40.18
1435,40,40.24
1436,40,40.3
1437,40,40.36
1438,40,40.43
1439,40,40.52
1440,40,40.62
1441,40,40.76
1442,40,40.84
1443,40,40.87
1444,40,40.89
1445,40,40.93
1446,40,40.97
1447,40,41.01
1448,40,41.03
1449,40,41.06
1450,40,41.07
1451,40,41.09
1452,40,41.13
1453,40,41.16
1454,40,41.19
1455,40,41.22
1456,40,41.26
1457,40,41.29
1458,40,41.32
1459,40,41.36
1460,40,41.36
1461,40,41.13
1462,40,40.93
1463,40,40.97
1464,40,40.99
1465,40,40.96
1466,40,41.01
1467,40,41.04
1468,40,41.11
1469,40,41.15
1470,40,41.17
1471,40,41.04
1472,40,40.56
1473,40,39.83
1474,40,38.95
1475,40,38.09
1476,40,37.45
1477,40,36.94
1478,40,36.53
1479,40,36.26
1480,40,36.17
1481,40,36.57
1482,40,37.37
1483,40,38.15
1484,40,38.94
1485,40,39.7
1486,40,40.32
1487,40,40.88
1488,40,41.38
1489,40,41.79
1490,40,42.09
1491,40,42.09
1492,40,41.8
1493,40,41.4
1494,40,40.99
1495,40,40.76
1496,40,40.72
1497,40,40.71
1498,40,40.79
1499,40,40.97
1500,40,41.07
1501,40,41.12
1502,40,41.24
1503,40,41.26
1504,40,40.87
1505,40,40.14
1506,40,39.35
1507,40,38.7
1508,40,38.24
1509,40,37.94
1510,40,37.73
1511,40,37.61
1512,40,37.71
1513,40,38.03
1514,40,38.29
1515,40,38.57
1516,40,38.77
1517,40,38.88
1518,40,38.97
1519,40,39.1
1520,40,39.3
1521,40,39.48
1522,40,39.61
1523,40,39.68
1524,40,39.72
1525,40,39.8
1526,40,39.92
1527,40,39.94
1528,40,39.91
1529,40,39.91
1530,40,39.9
1531,40,39.9
1532,40,39.93
1533,40,39.96
1534,40,39.96
1535,40,39.97
1536,40,40.02
1537,40,40.07
1538,40,40.11
1539,40,40.16
1540,40,40.2
1541,40,40.24
1542,40,40.26
1543,40,40.27
1544,40,40.29
1545,40,40.3
1546,40,40.3
1547,40,40.31
1548,40,40.32
1549,40,40.35
1550,45,40.4
1551,45,40.46
1552,45,40.81
1553,45,41.55
1554,45,42.4
1555,45,43.33
1556,45,44.47
1557,45,45.86
1558,45,47.34
1559,45,48.59
1560,45,49.66
1561,45,50.54
1562,45,51.07
1563,45,51.34
1564,45,51.36
1565,45,51.21
1566,45,50.99
1567,45,50.7
1568,45,50.3
1569,45,49.83
1570,45,49.3
1571,45,48.68
1572,45,48.03
1573,45,47.35
1574,45,46.58
1575,45,45.73
1576,45,44.82
1577,45,43.85
1578,45,42.91
1579,45,42.13
1580,45,41.45
1581,45,40.87
1582,45,40.51
1583,45,40.7
1584,45,41.21
1585,45,41.67
1586,45,42.43
1587,45,43.66
1588,45,45.11
1589,45,46.27
1590,45,47.16
1591,45,47.95
1592,45,48.5
1593,45,48.73
1594,45,48.73
1595,45,48.52
1596,45,48.21
1597,45,47.84
1598,45,47.4
1599,45,46.89
1600,45,46.29
1601,45,45.65
1602,45,44.95
1603,45,44.06
1604,45,43.15
1605,45,42.49
1606,45,42
1607,45,41.56
1608,45,41.21
1609,45,40.98
1610,45,41.14
1611,45,41.79
1612,45,42.58
1613,45,43.35
1614,45,44.08
1615,45,44.73
1616,45,45.34
1617,45,45.93
1618,45,46.44
1619,45,46.88
1620,45,46.98
1621,45,46.76
1622,45,46.39
1623,45,45.91
1624,45,45.4
1625,45,44.88
1626,45,44.53
1627,45,44.37
1628,45,44.27
1629,45,44.34
1630,45,44.48
1631,45,44.51
1632,45,44.51
1633,45,44.53
1634,45,44.53
1635,45,44.48
1636,45,44.43
1637,45,44.36
1638,45,44.29
1639,45,44.24
1640,45,44.2
1641,45,44.19
1642,45,44.19
1643,45,44.22
1644,45,44.24
1645,45,44.27
1646,45,44.31
1647,45,44.34
1648,45,44.38
1649,45,44.39
1650,40,44.39
1651,40,44.39
1652,40,44.27
1653,40,44
1654,40,43.66
1655,40,43.21
1656,40,42.66
1657,40,42.03
1658,40,41.35
1659,40,40.62
1660,40,39.86
1661,40,39.1
1662,40,38.41
1663,40,37.92
1664,40,37.57
1665,40,37.32
1666,40,37.2
1667,40,37.22
