ime,Theta_set,Theta_input
0,40,0
1,40,179
2,40,-356.67
3,40,38.59
4,40,38.92
5,40,39.45
6,40,40.05
7,40,40.61
8,40,41.24
9,40,41.94
10,40,42.56
11,40,43
12,40,43.25
13,40,43.4
14,40,43.42
15,40,43.35
16,40,43.2
17,40,43
18,40,42.74
19,40,42.47
20,40,42.19
21,40,41.89
22,40,41.53
23,40,41.1
24,40,40.61
25,40,40.06
26,40,39.46
27,40,38.79
28,40,38.1
29,40,37.47
30,40,36.98
31,40,36.6
32,40,36.3
33,40,36.07
34,40,35.88
35,40,35.67
36,40,35.49
37,40,35.41
38,40,35.48
39,40,35.64
40,40,35.92
41,40,36.26
42,45,36.69
43,45,37.2
44,45,37.84
45,45,38.55
46,45,39.34
47,45,40.24
48,45,41.28
49,45,42.5
50,45,43.88
51,45,45.47
52,45,47.19
53,45,49.03
54,45,50.9
55,45,52.72
56,45,54.34
57,45,55.71
58,45,56.8
59,45,57.69
60,45,58.33
61,45,58.69
62,45,58.82
63,45,58.76
64,45,58.55
65,45,58.26
66,45,57.9
67,45,57.44
68,45,56.87
69,45,56.18
70,45,55.45
71,45,54.64
72,45,53.81
73,45,52.98
74,45,52.18
75,45,51.36
76,45,50.51
77,45,49.55
78,45,48.5
79,45,47.34
80,45,46.09
81,45,44.76
82,45,43.34
83,45,41.89
84,45,40.49
85,45,39.24
86,45,38.14
87,45,37.31
88,45,36.74
89,45,36.45
90,45,36.45
91,45,36.68
92,45,37.03
93,45,37.45
94,45,37.95
95,45,38.59
96,45,39.32
97,45,40.11
98,45,40.87
99,45,41.6
100,45,42.29
101,45,42.98
102,45,43.85
103,45,44.83
104,45,45.78
105,45,46.72
106,45,47.65
107,45,48.59
108,45,49.36
109,45,49.93
110,45,50.35
111,45,50.58
112,45,50.61
113,45,50.48
114,45,50.22
115,45,49.87
116,45,49.44
117,45,49
118,45,48.56
119,45,48.12
120,45,47.74
121,45,47.39
122,45,47.05
123,45,46.73
124,45,46.38
125,45,46
126,45,45.59
127,45,45.16
128,45,44.77
129,45,44.39
130,45,44.02
131,45,43.68
132,45,43.43
133,45,43.22
134,45,43.05
135,45,42.95
136,45,42.94
137,45,43
138,45,43.07
139,45,43.25
140,45,43.53
141,45,43.91
142,45,44.51
143,40,45.23
144,40,45.96
145,40,46.7
146,40,47.4
147,40,48.08
148,40,48.75
149,40,49.39
150,40,49.96
151,40,50.46
152,40,50.89
153,40,51.23
154,40,51.48
155,40,51.65
156,40,51.71
157,40,51.7
158,40,51.61
159,40,51.47
160,40,51.28
161,40,51.04
162,40,50.78
163,40,50.45
164,40,50.05
165,40,49.55
166,40,48.97
167,40,48.25
168,40,47.38
169,40,46.4
170,40,45.3
171,40,44.07
172,40,42.77
173,40,41.44
174,40,40.1
175,40,38.7
176,40,37.31
177,40,35.96
178,40,34.63
179,40,33.4
180,40,32.32
181,40,31.68
182,40,31.53
183,40,31.73
184,40,32.1
185,40,32.47
186,40,32.86
187,40,33.43
188,40,34.18
189,40,35.05
190,40,35.96
191,40,36.85
192,40,37.81
193,40,38.88
194,40,39.98
195,40,40.99
196,40,41.97
197,40,42.92
198,40,43.64
199,40,44.15
200,40,44.44
201,40,44.56
202,40,44.56
203,40,44.45
204,40,44.29
205,40,44.05
206,40,43.76
207,40,43.43
208,40,43.04
209,40,42.65
210,40,42.21
211,40,41.75
212,40,41.25
213,40,40.72
214,40,40.18
215,40,39.6
216,40,39.03
217,40,38.54
218,40,38.14
219,40,37.84
220,40,37.69
221,40,37.67
222,40,37.77
223,40,38.04
224,40,38.38
225,40,38.87
226,40,39.54
227,40,40.27
228,40,40.98
229,40,41.65
230,40,42.29
231,40,42.81
232,40,43.22
233,40,43.54
234,40,43.76
235,40,43.89
236,40,43.96
237,40,43.96
238,40,43.87
239,40,43.71
240,40,43.5
241,40,43.21
242,40,42.84
243,40,42.42
244,40,41.95
245,40,41.42
246,40,40.81
247,40,40.13
248,40,39.41
249,40,38.62
250,40,37.8
251,40,36.96
252,40,36.17
253,40,35.53
254,40,35.03
255,40,34.85
256,40,35.17
257,40,35.79
258,40,36.55
259,40,37.26
260,40,38.03
261,40,38.84
262,40,39.52
263,40,40.12
264,40,40.66
265,40,41.13
266,40,41.57
267,40,41.72
268,40,41.67
269,40,41.53
270,40,41.3
271,40,40.99
272,40,40.62
273,40,40.18
274,40,39.69
275,40,39.13
276,40,38.64
277,40,38.31
278,40,38.12
279,40,38.05
280,40,38.11
281,40,38.34
282,40,38.66
283,40,38.88
284,40,39.07
285,40,39.25
286,40,39.37
287,40,39.44
288,40,39.47
289,40,39.51
290,40,39.52
291,40,39.5
292,40,39.41
293,45,39.24
294,45,39.11
295,45,39.08
296,45,39.34
297,45,39.95
298,45,40.79
299,45,41.74
300,45,42.84
301,45,44.09
302,45,45.38
303,45,46.62
304,45,47.75
305,45,48.83
306,45,49.76
307,45,50.42
308,45,50.85
309,45,51.05
310,45,51.06
311,45,50.94
312,45,50.69
313,45,50.33
314,45,49.85
315,45,49.28
316,45,48.66
317,45,48
318,45,47.29
319,45,46.55
320,45,45.8
321,45,45
322,45,44.18
323,45,43.38
324,45,42.69
325,45,42.11
326,45,41.67
327,45,41.38
328,45,41.16
329,45,40.96
330,45,40.93
331,45,41.24
332,45,41.82
333,45,42.49
334,45,43.04
335,45,43.5
336,45,43.92
337,45,44.33
338,45,44.73
339,45,45.07
340,45,45.34
341,45,45.59
342,45,45.8
343,45,46
344,45,46.17
345,45,46.35
346,45,46.46
347,45,46.45
348,45,46.34
349,45,46.14
350,45,45.88
351,45,45.56
352,45,45.16
353,45,44.76
354,45,44.47
355,45,44.3
356,45,44.3
357,45,44.36
358,45,44.3
359,45,44.19
360,45,44.09
361,45,43.98
362,45,43.88
363,45,43.82
364,45,43.74
365,45,43.6
366,45,43.45
367,45,43.32
368,45,43.23
369,45,43.18
370,45,43.17
371,45,43.16
372,45,43.15
373,45,43.17
374,45,43.24
375,45,43.37
376,45,43.54
377,45,43.71
378,45,43.86
379,45,44.04
380,45,44.26
381,45,44.49
382,45,44.7
383,45,44.89
384,45,45.08
385,45,45.28
386,45,45.43
387,45,45.51
388,45,45.57
389,45,45.6
390,45,45.59
391,45,45.56
392,45,45.52
393,45,45.45
394,40,45.35
395,40,45.23
396,40,44.96
397,40,44.61
398,40,44.15
399,40,43.56
400,40,42.91
401,40,42.19
402,40,41.39
403,40,40.55
404,40,39.64
405,40,38.65
406,40,37.73
407,40,37.03
408,40,36.52
409,40,36.25
410,40,36.58
411,40,37.36
412,40,38.35
