time,Theta_set,Theta_input
0,40,40.16
1,40,40.94
2,40,41.49
3,40,42.1
4,40,42.74
5,40,43.18
6,40,43.29
7,40,43.16
8,40,42.93
9,40,42.69
10,40,42.35
11,40,41.92
12,40,41.44
13,40,40.91
14,40,40.4
15,40,39.97
16,40,39.58
17,40,39.25
18,40,38.99
19,40,38.69
20,40,38.44
21,40,38.28
22,40,38.1
23,40,37.91
24,40,37.87
25,40,37.92
26,40,38
27,40,38.03
28,40,38.02
29,40,38.08
30,40,38.24
31,40,38.46
32,40,38.64
33,40,38.74
34,40,38.97
35,40,39.32
36,40,39.59
37,40,39.77
38,40,40.07
39,40,40.45
40,40,40.75
41,40,40.91
42,45,41.12
43,45,41.4
44,45,41.9
45,45,42.76
46,45,43.93
47,45,45.28
48,45,46.54
49,45,47.81
50,45,49.15
51,45,50.47
52,45,51.68
53,45,52.79
54,45,53.85
55,45,54.88
56,45,55.88
57,45,56.8
58,45,57.58
59,45,58.29
60,45,58.92
61,45,59.45
62,45,59.87
63,45,60.18
64,45,60.4
65,45,60.53
66,45,60.55
67,45,60.5
68,45,60.39
69,45,60.23
70,45,60.06
71,45,59.88
72,45,59.65
73,45,59.42
74,45,59.17
75,45,58.91
76,45,58.69
77,45,58.48
78,45,58.29
79,45,58.14
80,45,58.02
81,45,57.91
82,45,57.78
83,45,57.65
84,45,57.5
85,45,57.31
86,45,57.04
87,45,56.74
88,45,56.39
89,45,56.02
90,45,55.63
91,45,55.24
92,45,54.84
93,45,54.37
94,45,53.86
95,45,53.35
96,45,52.87
97,45,52.42
98,45,51.95
99,45,51.46
100,45,50.98
101,45,50.48
102,45,49.95
103,45,49.43
104,45,48.91
105,45,48.33
106,45,47.74
107,45,47.14
108,45,46.49
109,45,45.77
110,45,44.98
111,45,44.22
112,45,43.52
113,45,42.94
114,45,42.42
115,45,41.94
116,45,41.5
117,45,41.15
118,45,40.89
119,45,40.72
120,45,40.77
121,45,41.48
122,45,42.63
123,45,43.9
124,45,45.3
125,45,46.86
126,45,48.32
127,45,49.53
128,45,50.58
129,45,51.6
130,45,52.61
131,45,53.63
132,45,54.66
133,45,55.69
134,45,56.66
135,45,57.58
136,45,58.45
137,45,59.34
138,45,60.19
139,45,60.98
140,45,61.73
141,45,62.39
142,45,62.98
143,40,63.5
144,40,63.97
145,40,64.4
146,40,64.83
147,40,65.22
148,40,65.64
149,40,66.08
150,40,66.53
151,40,67.01
152,40,67.51
153,40,68.06
154,40,68.61
155,40,69.21
156,40,69.84
157,40,70.54
158,40,71.29
159,40,72.08
160,40,72.94
161,40,73.83
162,40,74.77
163,40,75.73
164,40,76.74
165,40,77.75
166,40,78.79
167,40,79.82
168,40,80.84
169,40,81.89
170,40,82.95
171,40,83.99
172,40,85
173,40,85.95
174,40,86.84
175,40,87.66
176,40,88.43
177,40,89.15
178,40,89.85
179,40,90.53
180,40,91.16
181,40,91.76
182,40,92.34
183,40,92.93
184,40,93.53
185,40,94.19
186,40,94.87
187,40,95.62
188,40,96.41
189,40,97.21
190,40,97.96
191,40,98.67
192,40,99.82
193,40,101.78
194,40,103.71
195,40,105.64
196,40,107.54
197,40,109.4
198,40,111.31
199,40,113.36
200,40,115.42
201,40,117.52
202,40,119.71
203,40,121.49
204,40,122.83
205,40,123.89
206,40,124.47
207,40,124.48
208,40,124.05
209,40,123.38
210,40,122.74
211,40,122.11
212,40,121.44
213,40,121.01
214,40,120.72
215,40,120.49
216,40,120.2
217,40,119.69
218,40,119.12
219,40,118.49
220,40,117.89
221,40,117.39
222,40,117.01
223,40,116.71
224,40,116.43
225,40,116.2
226,40,115.89
227,40,115.45
228,40,114.99
229,40,114.56
230,40,114.14
231,40,113.7
232,40,113.27
233,40,113.27
234,40,112.79
235,40,112.39
236,40,112.01
237,40,111.68
238,40,111.29
239,40,110.88
240,40,110.52
241,40,110.23
242,40,110.02
243,40,109.67
244,40,109.28
245,40,108.98
246,40,108.71
247,40,108.37
248,40,108.07
249,40,107.75
250,40,107.55
251,40,107.24
252,40,106.78
253,40,106.3
254,40,105.84
255,40,105.35
256,40,104.86
257,40,104.24
258,40,103.59
259,40,102.97
260,40,102.56
261,40,102.21
262,40,102.07
263,40,101.87
264,40,101.76
265,40,101.65
266,40,101.56
267,40,101.4
268,40,101.25
269,40,101.05
270,40,100.89
271,40,100.77
272,40,100.69
273,40,100.57
274,40,100.49
275,40,100.38
276,40,100.31
277,40,100.19
278,40,100.02
279,40,99.65
280,40,99.39
281,40,99.2
282,40,99.09
283,40,99.09
284,40,99.08
285,40,99.14
286,40,99.11
287,40,99.1
288,40,99
289,40,98.89
290,40,98.69
291,40,98.39
292,40,97.99
293,40,97.46
294,40,96.8
295,45,96
296,45,95.03
297,45,93.92
298,45,92.57
299,45,91.03
300,45,89.44
301,45,87.77
302,45,86.09
303,45,84.46
304,45,82.9
305,45,81.36
306,45,79.88
307,45,78.36
308,45,76.79
309,45,75.17
310,45,73.46
311,45,71.69
312,45,69.91
313,45,68.11
314,45,66.37
315,45,64.73
316,45,63.12
317,45,61.62
318,45,60.2
319,45,58.84
320,45,57.55
321,45,56.38
322,45,55.22
323,45,54.09
324,45,52.92
325,45,51.84
326,45,50.78
327,45,49.76
328,45,48.82
329,45,47.99
330,45,47.25
331,45,46.64
332,45,46.13
333,45,45.68
334,45,45.27
335,45,44.8
336,45,44.19
337,45,43.57
338,45,43
339,45,42.45
340,45,41.94
341,45,41.5
342,45,41.17
343,45,40.9
344,45,40.72
345,45,40.59
346,45,40.5
347,45,40.44
348,45,40.3
349,45,40.13
350,45,40
351,45,39.96
352,45,39.95
353,45,40.03
354,45,40.39
355,45,41.01
356,45,41.66
357,45,42.21
358,45,42.67
359,45,43.08
360,45,43.41
361,45,43.69
362,45,43.87
363,45,43.89
364,45,43.83
365,45,43.79
366,45,43.83
367,45,43.86
368,45,43.94
369,45,44.05
370,45,44.08
371,45,44.04
372,45,43.92
373,45,43.71
374,45,43.39
375,45,43.06
376,45,42.7
377,45,42.32
378,45,41.93
379,45,41.69
380,45,41.64
381,45,41.79
382,45,42.04
383,45,42.27
384,45,42.57
385,45,42.95
386,45,43.3
387,45,43.73
388,45,44.28
389,45,44.85
390,45,45.36
391,45,45.97
392,45,46.61
393,45,47.24
394,45,47.8
395,40,48.25
396,40,48.48
397,40,48.59
398,40,48.66
399,40,48.65
400,40,48.53
401,40,48.36
402,40,48.11
403,40,47.8
404,40,47.44
405,40,47.04
406,40,46.57
407,40,46.06
408,40,45.51
409,40,44.92
410,40,44.28
411,40,43.59
412,40,42.88
413,40,42.15
414,40,41.39
415,40,40.62
416,40,39.86
417,40,39.09
418,40,38.35
419,40,37.71
420,40,37.17
421,40,36.79
422,40,36.54
423,40,36.44
424,40,36.47
425,40,36.65
426,40,37.04
427,40,37.53
428,40,38.04
429,40,38.6
430,40,39.19
431,40,39.78
432,40,40.4
433,40,41.02
434,40,41.57
435,40,42.07
436,40,42.5
437,40,42.88
438,40,43.22
439,40,43.49
440,40,43.72
441,40,43.92
442,40,44.09
443,40,44.24
444,40,44.34
445,40,44.42
446,40,44.43
447,40,44.43
448,40,44.38
449,40,44.31
450,40,44.22
451,40,44.11
452,40,44.02
453,40,43.9
454,40,43.79
455,40,43.71
456,40,43.66
457,40,43.67
458,40,43.66
459,40,43.68
460,40,43.74
461,40,43.78
462,40,43.81
463,40,43.82
464,40,43.81
465,40,43.83
466,40,43.91
467,40,44.1
468,40,44.37
469,40,44.66
470,40,45
471,40,45.33
472,40,45.68
473,40,45.99
474,40,46.25
475,40,46.5
476,40,46.72
477,40,46.92
478,40,47.1
479,40,47.26
480,40,47.36
481,40,47.43
482,40,47.45
483,40,47.43
484,40,47.36
485,40,47.23
486,40,47.02
487,40,46.73
488,40,46.38
489,40,45.91
490,40,45.34
491,40,44.67
492,40,43.89
493,40,43.04
494,40,42.17
495,40,41.27
496,40,40.41
497,40,39.62
498,40,38.9
499,40,38.23
500,40,37.66
501,40,37.28
502,40,37.09
503,40,37.12
504,40,37.26
505,40,37.52
506,40,37.85
507,40,38.26
508,40,38.73
509,40,39.26
510,40,39.82
511,40,40.47
512,40,41.17
513,40,41.83
514,40,42.42
515,40,42.98
516,40,43.49
517,40,43.98
518,40,44.44
519,40,44.86
520,40,45.23
521,40,45.55
522,40,45.55
523,40,45.83
524,40,46.05
525,40,46.18
526,40,46.22
527,40,46.19
528,40,46.08
529,40,45.92
530,40,45.69
531,40,45.35
532,40,44.93
533,40,44.52
534,40,44.13
535,40,43.78
536,40,43.42
537,40,43.14
538,40,42.84
539,40,42.53
540,40,42.2
541,40,41.91
542,40,41.66
543,40,41.48
544,40,41.3
545,40,41.11
546,40,40.95
547,45,40.79
548,45,40.62
549,45,40.51
550,45,40.52
551,45,40.72
552,45,41.22
553,45,42.12
554,45,43.3
555,45,44.63
556,45,46.09
557,45,47.68
558,45,49.03
559,45,50.23
560,45,51.5
561,45,52.81
562,45,54.18
563,45,55.61
564,45,57.09
565,45,58.59
566,45,60.07
567,45,61.49
568,45,62.83
569,45,64.06
570,45,65.15
571,45,66.15
572,45,67.04
573,45,67.81
574,45,68.49
575,45,69.08
576,45,69.6
577,45,70.02
578,45,70.37
579,45,70.66
580,45,70.93
581,45,71.18
582,45,71.4
583,45,71.6
584,45,71.77
585,45,71.94
586,45,72.09
587,45,72.29
588,45,72.54
589,45,72.87
590,45,73.3
591,45,73.82
592,45,74.43
593,45,75.16
594,45,75.95
595,45,76.84
596,45,77.81
597,45,78.85
598,45,79.92
599,45,81.06
600,45,82.17
601,45,83.25
602,45,84.29
603,45,85.31
604,45,86.3
605,45,87.24
606,45,88.15
607,45,89.08
608,45,90.05
609,45,91.04
610,45,92.07
611,45,93.12
612,45,94.19
613,45,95.28
614,45,96.4
615,45,97.55
616,45,98.73
617,45,99.97
618,45,101.27
619,45,102.6
620,45,103.87
621,45,105.09
622,45,106.36
623,45,107.77
624,45,109.27
625,45,110.87
626,45,112.51
627,45,114.1
628,45,115.15
629,45,115.78
630,45,116.21
631,45,116.34
632,45,116.28
633,45,116.1
634,45,115.77
635,45,115.33
636,45,114.83
637,45,114.21
638,45,113.46
639,45,112.66
640,45,111.96
641,45,111.53
642,45,111.11
643,45,110.63
644,45,110.14
645,45,109.69
646,45,109.46
647,40,109.18
648,40,108.92
649,40,108.68
650,40,108.48
651,40,108.32
652,40,108.11
653,40,107.75
654,40,107.35
655,40,106.92
656,40,106.49
657,40,106.15
658,40,105.97
659,40,106
660,40,106.29
661,40,106.79
662,40,107.41
663,40,108.2
664,40,109.04
665,40,109.87
666,40,110.15
667,40,109.81
668,40,109.4
669,40,109.15
670,40,108.69
671,40,108.36
672,40,108.1
673,40,107.77
674,40,107.41
675,40,107.15
676,40,106.92
677,40,106.71
678,40,106.64
679,40,106.71
680,40,106.71
681,40,106.72
682,40,106.65
683,40,106.56
684,40,106.53
685,40,106.45
686,40,106.32
687,40,106.14
688,40,105.99
689,40,105.82
690,40,105.6
691,40,105.33
692,40,105.08
693,40,104.86
694,40,104.66
695,40,104.44
696,40,104.2
697,40,103.91
698,40,103.56
699,40,103.24
700,40,103.02
701,40,102.8
702,40,102.65
703,40,102.53
704,40,102.46
705,40,102.41
706,40,102.37
707,40,102.36
708,40,102.35
709,40,102.3
710,40,102.18
711,40,102.06
712,40,101.92
713,40,101.76
714,40,101.59
715,40,101.46
716,40,101.32
717,40,101.21
718,40,101.13
719,40,101.02
720,40,100.93
721,40,100.8
722,40,100.69
723,40,100.59
724,40,100.5
725,40,100.44
726,40,100.29
727,40,100.17
728,40,99.95
729,40,99.72
730,40,99.49
731,40,99.27
732,40,99.06
733,40,98.87
734,40,98.65
735,40,98.47
736,40,98.21
737,40,97.97
738,40,97.63
739,40,97.32
740,40,96.92
741,40,96.46
742,40,95.74
743,40,94.8
744,40,93.65
745,40,92.41
746,40,91.1
747,40,89.61
748,40,88.05
749,40,86.36
750,40,84.68
751,40,82.94
752,40,81.2
753,40,79.47
754,40,77.73
755,40,76.01
756,40,74.27
757,40,72.51
758,40,70.73
759,40,68.99
760,40,67.28
761,40,65.59
762,40,63.93
763,40,62.29
764,40,60.74
765,40,59.24
766,40,57.83
767,40,56.48
768,40,55.2
769,40,54.01
770,40,52.92
771,40,51.91
772,40,50.93
773,40,50
774,40,49.23
775,40,48.49
776,40,47.77
777,40,47.08
778,40,46.42
779,40,45.81
780,40,45.15
781,40,44.43
782,40,43.7
783,40,42.98
784,40,42.23
785,40,41.44
786,40,40.6
787,40,39.71
788,40,38.78
789,40,37.81
790,40,36.81
791,40,35.77
792,40,34.72
793,40,33.69
794,40,32.75
795,40,31.93
796,40,31.36
797,40,31
798,45,30.79
799,45,30.72
800,45,30.78
801,45,30.9
802,45,31.1
803,45,31.39
804,45,31.76
805,45,32.24
806,45,32.78
807,45,33.39
808,45,34.08
809,45,34.83
810,45,35.59
811,45,36.37
812,45,37.13
813,45,37.88
814,45,38.54
815,45,39.15
816,45,39.75
817,45,40.37
818,45,41
819,45,41.67
820,45,42.39
821,45,43.05
822,45,43.68
823,45,44.37
824,45,45.12
825,45,45.86
826,45,46.58
827,45,47.33
828,45,48.1
829,45,48.87
830,45,49.51
831,45,50.12
832,45,50.69
833,45,51.1
834,45,51.39
835,45,51.63
836,45,51.77
837,45,51.8
838,45,51.8
839,45,51.77
840,45,51.69
841,45,51.54
842,45,51.29
843,45,50.94
844,45,50.47
845,45,49.9
846,45,49.22
847,45,48.4
848,45,47.47
849,45,46.43
850,45,45.35
851,45,44.26
852,45,43.24
853,45,42.36
854,45,41.76
855,45,41.46
856,45,41.44
857,45,41.7
858,45,42.22
859,45,42.97
860,45,43.94
861,45,45.08
862,45,46.31
863,45,47.49
864,45,48.65
865,45,49.81
866,45,50.89
867,45,51.89
868,45,52.82
869,45,53.68
870,45,54.55
871,45,55.45
872,45,56.37
873,45,57.29
874,45,58.29
875,45,59.31
876,45,60.37
877,45,61.43
878,45,62.5
879,45,63.55
880,45,64.52
