ime,Theta_set,Theta_input
382,45,48.81
383,45,47.53
384,45,46.31
385,45,45.1
386,45,43.9
387,45,42.75
388,45,41.68
389,45,40.77
390,45,40.06
391,45,39.53
392,45,39.24
393,45,39.13
394,45,39.15
395,45,39.3
396,45,39.53
397,40,39.8
398,40,40.06
399,40,40.28
400,40,40.48
401,40,40.66
402,40,40.88
403,40,41.11
404,40,41.38
405,40,41.69
406,40,42.06
407,40,42.41
408,40,42.73
409,40,43.03
410,40,43.26
411,40,43.45
412,40,43.66
413,40,43.88
414,40,44.11
415,40,44.39
416,40,44.39
417,40,44.73
418,40,45.06
419,40,45.36
420,40,45.58
421,40,45.7
422,40,45.73
423,40,45.69
424,40,45.54
425,40,45.35
426,40,45.13
427,40,44.87
428,40,44.55
429,40,44.13
430,40,43.74
431,40,43.44
432,40,43.25
433,40,43.11
434,40,43.01
435,40,42.98
436,40,42.98
437,40,43.01
438,40,43.07
439,40,43.14
440,40,43.22
441,40,43.28
442,40,43.35
443,40,43.41
444,40,43.49
445,40,43.55
446,40,43.59
447,40,43.61
448,40,43.59
449,40,43.53
450,40,43.4
451,40,43.24
452,40,43.04
453,40,42.81
454,40,42.59
455,40,42.38
456,40,42.15
457,40,41.91
458,40,41.7
459,40,41.46
460,40,41.2
461,40,40.9
462,40,40.6
463,40,40.34
464,40,40.15
465,40,39.97
466,40,39.84
467,40,39.74
468,40,39.68
469,40,39.58
470,40,39.53
471,40,39.49
472,40,39.45
473,40,39.45
474,40,39.38
475,40,39.24
476,40,39
477,40,38.79
478,40,38.62
479,40,38.52
480,40,38.5
481,40,38.52
482,40,38.62
483,40,38.77
484,40,38.96
485,40,39.15
486,40,39.38
487,40,39.64
488,40,39.86
489,40,39.83
490,40,39.61
491,40,39.36
492,40,39.2
493,40,39.19
494,40,39.34
495,40,39.62
496,40,39.99
497,40,40.41
498,40,40.8
499,40,41.08
500,40,41.23
501,40,41.28
502,40,41.23
503,40,41.16
504,40,41.08
505,40,41.03
506,40,41.05
507,40,41.08
508,40,41.11
509,40,41.15
510,40,41.18
511,40,41.22
512,40,41.3
513,40,41.38
514,40,41.46
515,40,41.52
516,40,41.58
517,40,41.65
518,40,41.73
519,40,41.81
520,40,41.92
521,40,42.04
522,40,42.15
523,40,42.2
524,40,42.11
525,40,41.93
526,40,41.7
527,40,41.48
528,40,41.18
529,40,40.87
530,40,40.57
531,40,40.33
532,40,40.11
533,40,39.89
534,40,39.7
535,40,39.58
536,40,39.56
537,40,39.6
538,40,39.68
539,40,39.79
540,40,39.95
541,40,40.14
542,40,40.32
543,40,40.45
544,40,40.49
545,40,40.48
546,40,40.43
547,40,40.37
548,40,40.31
549,45,40.3
550,45,40.3
551,45,40.38
552,45,40.57
553,45,40.87
554,45,41.22
555,45,41.58
556,45,41.84
557,45,42.02
558,45,42.19
559,45,42.39
560,45,42.63
561,45,42.96
562,45,43.34
563,45,43.79
564,45,44.28
565,45,44.84
566,45,45.45
567,45,46.09
568,45,46.72
569,45,47.18
570,45,47.51
571,45,47.67
572,45,47.74
573,45,47.74
574,45,47.66
575,45,47.49
576,45,47.27
577,45,46.99
578,45,46.67
579,45,46.3
580,45,45.9
581,45,45.45
582,45,45.04
583,45,44.75
584,45,44.52
585,45,44.34
586,45,44.24
587,45,44.2
588,45,44.22
589,45,44.29
590,45,44.29
591,45,44.39
592,45,44.5
593,45,44.6
594,45,44.73
595,45,44.91
596,45,45.12
597,45,45.38
598,45,45.64
599,45,45.88
600,45,46.03
601,45,46.02
602,45,45.88
603,45,45.65
604,45,45.37
605,45,45.09
606,45,44.82
607,45,44.49
608,45,44.23
609,45,44.08
610,45,44.05
611,45,44.12
612,45,44.21
613,45,44.29
614,45,44.32
615,45,44.35
616,45,44.39
617,45,44.47
618,45,44.59
619,45,44.75
620,45,44.94
621,45,45.17
622,45,45.4
623,45,45.61
624,45,45.8
625,45,45.99
626,45,46.16
627,45,46.32
628,45,46.43
629,45,46.47
630,45,46.47
631,45,46.4
632,45,46.23
633,45,46.03
634,45,45.81
635,45,45.56
636,45,45.28
637,45,44.94
638,45,44.69
639,45,44.55
640,45,44.54
641,45,44.65
642,45,44.82
643,45,44.99
644,45,45.08
645,45,44.89
646,45,44.54
647,45,44.21
648,45,43.94
649,45,43.87
650,40,43.92
651,40,43.99
652,40,44.01
653,40,43.93
654,40,43.74
655,40,43.47
656,40,43.13
657,40,42.8
658,40,42.42
659,40,42.05
660,40,41.71
661,40,41.34
662,40,40.95
663,40,40.52
664,40,40.07
665,40,39.66
666,40,39.38
667,40,39.26
668,40,39.27
669,40,39.4
670,40,39.5
671,40,39.52
672,40,39.6
673,40,39.78
674,40,39.88
675,40,39.76
676,40,39.51
677,40,39.24
678,40,39.05
679,40,38.93
680,40,38.95
681,40,39.15
682,40,39.49
683,40,39.9
684,40,40.2
685,40,40.4
686,40,40.54
687,40,40.49
688,40,40.25
689,40,39.92
690,40,39.58
691,40,39.28
692,40,39.17
693,40,39.25
694,40,39.5
695,40,39.85
696,40,40.18
697,40,40.39
698,40,40.49
699,40,40.51
700,40,40.41
701,40,40.25
702,40,40
703,40,39.77
704,40,39.62
705,40,39.46
706,40,39.38
707,40,39.45
708,40,39.66
709,40,39.84
710,40,39.79
711,40,39.58
712,40,39.34
713,40,38.92
714,40,38.51
715,40,38.26
716,40,38.19
717,40,38.31
718,40,38.52
719,40,38.83
720,40,39.16
721,40,39.45
722,40,39.67
723,40,39.77
724,40,39.8
725,40,39.82
726,40,39.84
727,40,39.89
728,40,39.98
729,40,40.08
730,40,40.17
731,40,40.14
732,40,40.17
733,40,40.26
734,40,40.33
735,40,40.23
736,40,40.03
737,40,39.92
738,40,39.98
739,40,40.14
740,40,40.35
741,40,40.48
742,40,40.29
743,40,39.94
744,40,39.63
745,40,39.47
746,40,39.51
747,40,39.67
748,40,39.94
749,40,40.3
750,40,40.54
751,40,40.5
752,40,40.32
753,40,40.09
754,40,39.81
755,40,39.56
756,40,39.47
757,40,39.58
758,40,39.79
759,40,40.12
760,40,40.52
761,40,40.82
762,40,41.02
763,40,41.08
764,40,41
765,40,40.82
766,40,40.6
767,40,40.32
768,40,40.06
769,40,39.76
770,40,39.57
771,40,39.49
772,40,39.53
773,40,39.74
774,40,40.1
775,40,40.52
776,40,40.9
777,40,41.06
778,40,41.02
779,40,40.85
780,40,40.62
781,40,40.32
782,40,40.04
783,40,39.84
784,40,39.66
785,40,39.55
786,40,39.54
787,40,39.68
788,40,40.01
789,40,40.41
790,40,40.71
791,40,40.64
792,40,40.33
793,40,40.01
794,40,39.71
795,40,39.36
796,40,38.93
797,40,38.63
798,40,38.57
799,40,38.67
800,40,38.92
801,45,39.24
802,45,39.64
803,45,40.13
804,45,40.68
805,45,41.26
806,45,41.86
807,45,42.43
808,45,42.95
809,45,43.39
810,45,43.77
811,45,44.21
812,45,44.7
813,45,45.21
814,45,45.74
815,45,46.32
816,45,46.95
817,45,47.59
818,45,48.24
819,45,48.85
820,45,49.31
821,45,49.63
822,45,49.8
823,45,49.82
824,45,49.7
825,45,49.49
826,45,49.21
827,45,48.91
828,45,48.63
829,45,48.35
830,45,48.07
831,45,47.8
832,45,47.56
833,45,47.26
834,45,46.94
835,45,46.6
836,45,46.19
837,45,45.76
838,45,45.33
839,45,44.92
840,45,44.5
841,45,44.13
842,45,43.85
843,45,43.66
844,45,43.58
845,45,43.63
846,45,43.79
847,45,44
848,45,44.31
849,45,44.68
850,45,44.98
851,45,45.01
852,45,44.91
853,45,44.78
854,45,44.62
855,45,44.44
