test
48.00,46.90
48.00,46.89
48.00,46.89
48.00,46.90
I2C
device
connection
DMP...
DMP...
interrupt
ready!
48.00,0.00
48.00,22.64
48.00,87.58
48.00,-4.01
48.00,-17.25
48.00,-18.58
48.00,-51.70
48.00,-53.35
48.00,42.61
48.00,92.67
48.00,92.66
48.00,92.61
48.00,92.10
48.00,91.62
48.00,91.11
48.00,90.49
48.00,89.85
48.00,89.12
48.00,88.39
48.00,87.61
48.00,86.79
48.00,85.94
48.00,85.09
48.00,84.16
48.00,83.25
48.00,82.29
48.00,81.30
48.00,80.28
48.00,79.22
48.00,78.13
48.00,77.02
48.00,75.83
48.00,74.64
48.00,73.40
48.00,72.14
48.00,70.86
48.00,69.56
48.00,68.25
48.00,66.92
48.00,65.57
48.00,64.21
48.00,62.86
48.00,61.46
48.00,60.06
48.00,58.67
48.00,57.20
48.00,55.72
48.00,54.23
48.00,52.70
48.00,51.19
48.00,49.65
48.00,48.06
48.00,46.49
48.00,44.92
48.00,43.43
48.00,42.01
48.00,40.67
48.00,39.57
48.00,38.78
48.00,38.61
48.00,38.37
48.00,38.12
48.00,37.98
48.00,38.07
48.00,38.16
48.00,38.31
48.00,38.52
54.00,38.76
54.00,39.21
54.00,39.72
54.00,40.25
54.00,40.84
54.00,41.46
54.00,42.09
54.00,42.72
54.00,43.34
54.00,43.97
54.00,44.62
54.00,45.24
54.00,45.87
48.00,46.46
48.00,47.04
48.00,47.65
48.00,48.27
48.00,48.94
48.00,49.59
48.00,50.21
48.00,50.84
48.00,51.25
48.00,51.74
48.00,52.27
48.00,52.69
48.00,53.04
48.00,53.40
48.00,53.62
48.00,53.47
48.00,53.26
48.00,52.88
48.00,52.51
48.00,52.25
48.00,51.87
48.00,51.46
48.00,51.07
48.00,50.66
48.00,50.15
48.00,49.59
48.00,49.07
48.00,48.55
48.00,48.08
48.00,47.57
48.00,46.96
48.00,46.34
48.00,45.75
48.00,45.30
48.00,44.97
48.00,44.84
48.00,44.89
48.00,44.96
48.00,45.13
48.00,45.30
48.00,45.36
48.00,45.64
48.00,46.01
48.00,46.34
48.00,46.73
48.00,47.26
48.00,47.83
48.00,48.52
48.00,49.28
48.00,49.91
48.00,50.60
48.00,51.29
48.00,51.97
48.00,52.63
48.00,53.25
48.00,53.23
48.00,52.83
48.00,52.86
48.00,52.59
48.00,52.29
48.00,52.22
48.00,52.00
48.00,51.85
48.00,51.66
48.00,51.50
48.00,51.39
48.00,51.25
48.00,50.68
48.00,50.08
48.00,49.58
